ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,currency_code,currency_name,age_mid,age_known,exp_gt_code,ed_ordinal,ed_level_clean,employment_group,has_employer,job_block_missing,org_size_mid,org_size_log,org_size_cat,ic_or_pm,is_manager,remote_ordinal,remote_3cat,remote_cat,industry_clean,country_clean,region,country_grouped,paid_in_hard_currency,dev_type_clean,dev_type_grouped,role_family,n_lang,lang_answered,lang_javascript,lang_html_css,lang_sql,lang_python,lang_typescript,lang_bash_shell_all_shells,lang_c_sharp,lang_java,lang_powershell,lang_c_plus_plus,lang_go,lang_php,lang_c,lang_rust,lang_kotlin,n_db,db_answered,db_postgresql,db_mysql,db_sqlite,db_redis,db_microsoft_sql_server,db_mongodb,db_mariadb,db_elasticsearch,db_dynamodb,db_oracle,db_bigquery,db_supabase,salary_suspect_low,log_salary
1,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,"Developer, mobile",20 to 99 employees,People manager,Remote,Fintech,Ukraine,EUR European Euro,Bash/Shell (all shells);Dart;SQL,Cloud Firestore;PostgreSQL,61256.0,EUR,European Euro,29.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,People manager,1.0,3.0,Remote/flexible,Remote,Fintech,Ukraine,Eastern Europe/Central Asia,Ukraine,True,"Developer, mobile","Developer, mobile",Engineering,3.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,11.02281708279296
10004,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,40.0,46.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Germany,EUR European Euro,C#;Java;SQL,H2;MariaDB;Neo4J;Oracle,99773.0,EUR,European Euro,59.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,3.0,Remote/flexible,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Germany,Western/Northern Europe,Germany,True,"Developer, full-stack","Developer, full-stack",Engineering,3.0,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,4.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,11.51065288461455
10016,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,5.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,USD United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB,85000.0,USD,United States dollar,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,3.0,Remote/flexible,Remote,Healthcare,United States,North America,United States,True,"Developer, full-stack","Developer, full-stack",Engineering,7.0,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,11.350406535472453
1002,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,18.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Fintech,Portugal,EUR European Euro,Bash/Shell (all shells);Lua;Rust;SQL;TypeScript,PostgreSQL;Clickhouse,145018.0,EUR,European Euro,39.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,3.0,Remote/flexible,Remote,Fintech,Portugal,Southern Europe,Portugal,True,"Developer, back-end","Developer, back-end",Engineering,5.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,11.88461315162927
10030,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Australia,AUD Australian dollar,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Oracle,100765.0,AUD,Australian dollar,39.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,3000.0,3.4771212547196626,"1,000 to 4,999 employees",Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Australia,Oceania,Australia,False,"Developer, full-stack","Developer, full-stack",Engineering,5.0,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,3.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,11.52054635210159
10053,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,25.0,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,EUR European Euro,Bash/Shell (all shells);C;OCaml,,232029.0,EUR,European Euro,39.5,True,False,7.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,People manager,1.0,3.0,Remote/flexible,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,Western/Northern Europe,France,True,"Senior executive (C-suite, VP, etc.)","Senior executive (C-suite, VP, etc.)",Management,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,False,,,,,,,,,,,,,False,12.354617642836597
10055,45-54 years old,Some college/university study without earning a degree,Employed,28.0,28.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,215000.0,USD,United States dollar,49.5,True,False,3.0,Some college/university study without earning a degree,Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,3.0,Remote/flexible,Remote,Software Development,United States,North America,United States,True,"Developer, full-stack","Developer, full-stack",Engineering,8.0,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,3.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,12.2783933071098
10073,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,11.0,"Developer, full-stack","10,000 or more employees",People manager,In-person,Software Development,India,INR Indian rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,MongoDB;MySQL;PostgreSQL,9299.0,INR,Indian rupee,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",People manager,1.0,0.0,In-person,In-person,Software Development,India,South Asia,India,False,"Developer, full-stack","Developer, full-stack",Engineering,7.0,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,3.0,True,True,True,False,False,False,True,False,False,False,False,False,False,False,9.137662146478197
10074,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,,6.0,Student,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C++;Elixir;Java;JavaScript;Python;Rust,MongoDB,29951.0,GBP,Pound sterling,21.0,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,2.0,Hybrid,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom,Western/Northern Europe,United Kingdom,True,Student,Other role,Other,8.0,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,10.307317991967832
10085,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",India,INR Indian rupee,C#;Java;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,20923.0,INR,Indian rupee,29.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,3.0,Remote/flexible,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",India,South Asia,India,False,"Developer, full-stack","Developer, full-stack",Engineering,4.0,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,9.94860431133925
